Open,High,Low,Close,Adj Close,Volume
160.14999389648438,166.1999969482422,158.50999450683594,165.5500030517578,165.5500030517578,28453600
171.7899932861328,173.38999938964844,166.00999450683594,168.8300018310547,168.8300018310547,31411900
171.25,175.0,167.74000549316406,174.27999877929688,174.27999877929688,21664200
175.89999389648438,177.0800018310547,171.57000732421875,175.19000244140625,175.19000244140625,23534300
173.6699981689453,175.0,169.4499969482422,174.7899932861328,174.7899932861328,19355400
178.97999572753906,181.22999572753906,176.6199951171875,178.1699981689453,178.1699981689453,21011800
175.19000244140625,178.19000244140625,172.82000732421875,176.97000122070312,176.97000122070312,17423000
177.9499969482422,178.0500030517578,172.50999450683594,176.25,176.25,23593200
179.1999969482422,180.27999877929688,176.66000366210938,179.24000549316406,179.24000549316406,20974800
177.41000366210938,180.5,176.77000427246094,178.24000549316406,178.24000549316406,16110700
